Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
BALAKILONG,Year 2,CNN,0.4835621,0.7309574,0.55051255,0.8435451,0.03131499,0.091498755,0.63392025,0.41166446,73.17541592157971,Poor,Low,Low,High
BALAKILONG,Year 2,LSTM,0.4847145,0.7200021,0.51752174,0.8259723,0.030645376,0.07256698,0.6437909,0.39563736,73.17510496488889,Poor,Low,Low,High
BALAKILONG,Year 2,CNN-LSTM,0.48025128,0.72294563,0.50468296,0.8577834,0.004400596,0.09765671,0.6316803,0.40728182,73.1755170667343,Poor,Low,Low,High
BALAKILONG,Year 3,CNN,0.4705779,0.7459378,0.54728127,0.8358073,0.0023649326,0.10163152,0.6316464,0.40943238,73.1755823534686,Poor,Low,Low,High
BALAKILONG,Year 3,LSTM,0.46803692,0.7162239,0.5264075,0.83119357,0.027039627,0.071625374,0.64949244,0.3975224,73.17508949889661,Poor,Low,Low,High
BALAKILONG,Year 3,CNN-LSTM,0.48790738,0.7199212,0.5152581,0.8529752,0.005118914,0.09456279,0.62160784,0.4051759,73.17546624872463,Poor,Low,Low,High
BUSO-BUSO,Year 1,CNN,0.5645053,0.6168631,0.25431827,0.3872233,0.06720922,-0.0220018,0.58633274,0.3062651,73.17391304347827,Poor,Low,Low,High
BUSO-BUSO,Year 1,LSTM,0.35685048,0.58186245,0.284071,0.33304954,0.042419575,0.08170144,0.51818174,0.25287938,73.17525499949758,Poor,Low,Low,High
BUSO-BUSO,Year 1,CNN-LSTM,0.3328593,0.5441121,0.21919888,0.35526717,-0.0060727727,0.11017093,0.5076183,0.27199644,73.17572261430918,Poor,Low,Low,High
BUSO-BUSO,Year 2,CNN,0.41901985,0.6588285,0.33969897,0.41576487,0.16858566,0.15206704,0.5460511,0.1663805,73.17641076297585,Poor,Low,Low,High
BUSO-BUSO,Year 2,LSTM,0.39240986,0.591817,0.27920252,0.3727777,0.05007904,0.07587284,0.53577614,0.26633012,73.17515926403864,Poor,Low,Low,High
BUSO-BUSO,Year 2,CNN-LSTM,0.3320294,0.55540997,0.2404428,0.34588113,0.001280671,0.08522539,0.5239824,0.3170614,73.17531288080193,Poor,Low,Low,High
BUSO-BUSO,Year 3,CNN,0.5325836,0.7880387,0.34936872,0.3856219,0.03598469,-0.0607327,0.40449625,0.3651462,57.29122418478261,Poor,Low,Low,Moderate
BUSO-BUSO,Year 3,LSTM,0.38368025,0.59384763,0.2829174,0.39017785,0.049108155,0.07896248,0.55237246,0.25515506,73.17521001174879,Poor,Low,Low,High
BUSO-BUSO,Year 3,CNN-LSTM,0.42458105,0.6001735,0.26274058,0.3757366,0.0036918223,0.09079393,0.52853346,0.2925171,73.17540434474395,Poor,Low,Low,High
BAÑAGA,Year 1,CNN,0.38203102,0.61914665,0.2510764,0.29541224,-0.00306994,0.057823073,0.46197176,0.25773874,66.85060114226184,Poor,Low,Low,Moderate
BAÑAGA,Year 1,LSTM,0.40980315,0.59876496,0.27614886,0.3113518,0.042642064,0.064039245,0.5054684,0.1936478,73.1749648958116,Poor,Low,Low,High
BAÑAGA,Year 1,CNN-LSTM,0.3994404,0.58717555,0.27673635,0.3916044,0.007875534,0.100641675,0.5239472,0.19109374,73.17556609514493,Poor,Low,Low,High
BAÑAGA,Year 2,CNN,0.44143113,0.6567973,0.39181286,0.3810451,0.10681536,0.12191274,0.5224998,0.22158095,73.17591547495653,Poor,Low,Low,High
BAÑAGA,Year 2,LSTM,0.39692265,0.5922363,0.27852452,0.3126704,0.036019586,0.06861953,0.5039538,0.19671038,73.1750401275459,Poor,Low,Low,High
