Location,Week,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Week 23,CNN,0.33953574,0.49243298,0.19373766,0.44190553,0.013815761,0.11920739,0.60236657,0.20347102,73.17587103925604,Poor,Low,Low,High
TANAUAN,Week 23,LSTM,0.325339,0.5429402,0.18737048,0.49191186,0.018729707,0.09941346,0.59788,0.22837299,73.17554592156522,Poor,Low,Low,High
TANAUAN,Week 23,CNN-LSTM,0.31167942,0.51560813,0.17776746,0.43464708,0.020207908,0.08727858,0.55371404,0.22079001,73.17534660469565,Poor,Low,Low,High
TANAUAN,Week 24,CNN,0.34585208,0.4974487,0.19439726,0.44586095,0.012847262,0.11837031,0.6025745,0.20762242,73.17585729011594,Poor,Low,Low,High
TANAUAN,Week 24,LSTM,0.3297537,0.5451492,0.18863012,0.49378163,0.018787183,0.0996923,0.59927994,0.22932303,73.1755505015459,Poor,Low,Low,High
TANAUAN,Week 24,CNN-LSTM,0.31547514,0.5180136,0.17866905,0.43556696,0.020509005,0.086615615,0.5544705,0.22088632,73.17533571541546,Poor,Low,Low,High
TANAUAN,Week 25,CNN,0.349556,0.4957217,0.19161074,0.44236705,0.012290702,0.117893316,0.60031027,0.20893544,73.17584945543189,Poor,Low,Low,High
TANAUAN,Week 25,LSTM,0.33446792,0.5474522,0.19020514,0.495333,0.018833159,0.09998684,0.6005445,0.23039705,73.17555533940097,Poor,Low,Low,High
TANAUAN,Week 25,CNN-LSTM,0.32139334,0.52159005,0.18030398,0.4381232,0.021122731,0.08697811,0.55536366,0.2214836,73.17534166943962,Poor,Low,Low,High
TANAUAN,Week 26,CNN,0.3524508,0.49924532,0.19323558,0.4466382,0.013780796,0.11719794,0.6004368,0.2074795,73.1758380337971,Poor,Low,Low,High
TANAUAN,Week 26,LSTM,0.33780888,0.5490939,0.19110836,0.4956495,0.01904171,0.10036008,0.60125744,0.23119637,73.17556146991305,Poor,Low,Low,High
TANAUAN,Week 26,CNN-LSTM,0.32459423,0.5228748,0.18001646,0.4390496,0.021730714,0.08672131,0.5554931,0.22300789,73.1753374514686,Poor,Low,Low,High
TANAUAN,Week 27,CNN,0.35681006,0.5041505,0.19801965,0.4512038,0.014330316,0.1171252,0.60091037,0.20923603,73.17583683903382,Poor,Low,Low,High
TANAUAN,Week 27,LSTM,0.3413234,0.55027544,0.1917122,0.49660337,0.019085413,0.10034219,0.6018251,0.23189798,73.17556117606763,Poor,Low,Low,High
TANAUAN,Week 27,CNN-LSTM,0.32901606,0.5245878,0.18098722,0.43973705,0.02180216,0.08710658,0.55531114,0.22352529,73.17534377957487,Poor,Low,Low,High
TANAUAN,Week 28,CNN,0.3628856,0.5076945,0.20138705,0.45240927,0.012553088,0.11538173,0.60485137,0.21162269,73.1758082023285,Poor,Low,Low,High
TANAUAN,Week 28,LSTM,0.34612083,0.5517233,0.19291452,0.4981226,0.019028077,0.10010382,0.6020405,0.23288444,73.17555726081159,Poor,Low,Low,High
TANAUAN,Week 28,CNN-LSTM,0.3331063,0.52656376,0.18162428,0.4407602,0.02213917,0.08680669,0.55567724,0.22513036,73.1753388538454,Poor,Low,Low,High
TANAUAN,Week 29,CNN,0.36658388,0.5089824,0.20029062,0.45319918,0.011725243,0.11550115,0.6072259,0.21143986,73.17581016381642,Poor,Low,Low,High
TANAUAN,Week 29,LSTM,0.3513196,0.5539701,0.19459616,0.4995511,0.018826334,0.09997798,0.6023672,0.2340976,73.1755551938744,Poor,Low,Low,High
TANAUAN,Week 29,CNN-LSTM,0.338095,0.5288518,0.18314053,0.44241893,0.022309355,0.08675421,0.5560179,0.22580235,73.17533799185507,Poor,Low,Low,High
TANAUAN,Week 30,CNN,0.37112084,0.5087119,0.19797756,0.45690453,0.014278173,0.11418878,0.6056814,0.21299054,73.17578860798068,Poor,Low,Low,High
TANAUAN,Week 30,LSTM,0.3553363,0.5556278,0.19603898,0.5006543,0.018647345,0.100126356,0.6028335,0.23472589,73.17555763096811,Poor,Low,Low,High
TANAUAN,Week 30,CNN-LSTM,0.34169027,0.5306937,0.1843119,0.44438955,0.022560058,0.08653584,0.55629766,0.22630313,73.17533440510145,Poor,Low,Low,High
TANAUAN,Week 31,CNN,0.37333155,0.5105199,0.19999234,0.45966047,0.014513261,0.114340685,0.60691625,0.21485971,73.17579110303865,Poor,Low,Low,High
TANAUAN,Week 31,LSTM,0.35857266,0.55712867,0.19695444,0.50207484,0.018567463,0.100093484,0.6035692,0.23561639,73.17555709104154,Poor,Low,Low,High
TANAUAN,Week 31,CNN-LSTM,0.3457045,0.5328049,0.1854117,0.44593892,0.02280953,0.08645603,0.55687934,0.22692552,73.17533309421256,Poor,Low,Low,High
TANAUAN,Week 32,CNN,0.37650937,0.5154166,0.20229664,0.461338,0.013915153,0.11231073,0.60700315,0.21573175,73.1757577607826,Poor,Low,Low,High
TANAUAN,Week 32,LSTM,0.36181262,0.5587483,0.19802974,0.50390977,0.018631577,0.100082316,0.60462743,0.23639834,73.1755569076058,Poor,Low,Low,High
TANAUAN,Week 32,CNN-LSTM,0.34927136,0.5348886,0.18628281,0.44738564,0.02303853,0.086374946,0.55752397,0.22783813,73.17533176239806,Poor,Low,Low,High
TANAUAN,Week 33,CNN,0.38132685,0.51672477,0.20357713,0.46432742,0.013590054,0.11136106,0.6073752,0.21592501,73.17574216233817,Poor,Low,Low,High
TANAUAN,Week 33,LSTM,0.36506298,0.56046915,0.19943823,0.5055953,0.018679852,0.09987446,0.605187,0.2371499,73.17555349354589,Poor,Low,Low,High
TANAUAN,Week 33,CNN-LSTM,0.3528085,0.53685194,0.18707715,0.44921532,0.02327694,0.08626164,0.5583589,0.22893481,73.17532990133333,Poor,Low,Low,High
TANAUAN,Week 34,CNN,0.3847065,0.51864237,0.20390172,0.46655932,0.014043516,0.11142518,0.6080175,0.2171519,73.1757432155169,Poor,Low,Low,High
TANAUAN,Week 34,LSTM,0.3684275,0.5621753,0.20070297,0.507508,0.01852675,0.099680334,0.6055993,0.23799813,73.1755503050029,Poor,Low,Low,High
TANAUAN,Week 34,CNN-LSTM,0.3565082,0.53866714,0.18826036,0.45099783,0.02338371,0.08600356,0.5587829,0.22978261,73.17532566233817,Poor,Low,Low,High
TANAUAN,Week 35,CNN,0.3881333,0.52139515,0.20574768,0.47001818,0.013297264,0.111030616,0.60878205,0.2187689,73.17573673475556,Poor,Low,Low,High
TANAUAN,Week 35,LSTM,0.37156817,0.5636922,0.20193212,0.5092017,0.018428361,0.09956034,0.60601777,0.23886207,73.17554833408695,Poor,Low,Low,High
TANAUAN,Week 35,CNN-LSTM,0.35962301,0.5403193,0.1892856,0.45324114,0.02352494,0.08592486,0.55915254,0.23026252,73.17532436968116,Poor,Low,Low,High
TANAUAN,Week 36,CNN,0.39177945,0.52344424,0.20649986,0.4719819,0.013409863,0.11091796,0.6098042,0.22011577,73.17573488436715,Poor,Low,Low,High
TANAUAN,Week 36,LSTM,0.37478796,0.5653269,0.20343079,0.5111014,0.018327532,0.099473245,0.606428,0.23962498,73.17554690354106,Poor,Low,Low,High
TANAUAN,Week 36,CNN-LSTM,0.36352608,0.5426471,0.19088067,0.4552909,0.023720216,0.08559572,0.5597606,0.23096558,73.1753189635169,Poor,Low,Low,High
